"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","q_3","lb_q_3","ub_q_3","q_4","lb_q_4","ub_q_4","q_5","lb_q_5","ub_q_5","q_6","lb_q_6","ub_q_6","q_7","lb_q_7","ub_q_7","q_8","lb_q_8","ub_q_8","q_9","lb_q_9","ub_q_9","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2","Q_3_1","lb_Q_3_1","ub_Q_3_1","Q_3_2","lb_Q_3_2","ub_Q_3_2","Q_3_3","lb_Q_3_3","ub_Q_3_3","Q_4_1","lb_Q_4_1","ub_Q_4_1","Q_4_2","lb_Q_4_2","ub_Q_4_2","Q_4_3","lb_Q_4_3","ub_Q_4_3","Q_4_4","lb_Q_4_4","ub_Q_4_4","Q_5_1","lb_Q_5_1","ub_Q_5_1","Q_5_2","lb_Q_5_2","ub_Q_5_2","Q_5_3","lb_Q_5_3","ub_Q_5_3","Q_5_4","lb_Q_5_4","ub_Q_5_4","Q_5_5","lb_Q_5_5","ub_Q_5_5","Q_6_1","lb_Q_6_1","ub_Q_6_1","Q_6_2","lb_Q_6_2","ub_Q_6_2","Q_6_3","lb_Q_6_3","ub_Q_6_3","Q_6_4","lb_Q_6_4","ub_Q_6_4","Q_6_5","lb_Q_6_5","ub_Q_6_5","Q_6_6","lb_Q_6_6","ub_Q_6_6","Q_7_1","lb_Q_7_1","ub_Q_7_1","Q_7_2","lb_Q_7_2","ub_Q_7_2","Q_7_3","lb_Q_7_3","ub_Q_7_3","Q_7_4","lb_Q_7_4","ub_Q_7_4","Q_7_5","lb_Q_7_5","ub_Q_7_5","Q_7_6","lb_Q_7_6","ub_Q_7_6","Q_7_7","lb_Q_7_7","ub_Q_7_7","Q_8_1","lb_Q_8_1","ub_Q_8_1","Q_8_2","lb_Q_8_2","ub_Q_8_2","Q_8_3","lb_Q_8_3","ub_Q_8_3","Q_8_4","lb_Q_8_4","ub_Q_8_4","Q_8_5","lb_Q_8_5","ub_Q_8_5","Q_8_6","lb_Q_8_6","ub_Q_8_6","Q_8_7","lb_Q_8_7","ub_Q_8_7","Q_8_8","lb_Q_8_8","ub_Q_8_8","Q_9_1","lb_Q_9_1","ub_Q_9_1","Q_9_2","lb_Q_9_2","ub_Q_9_2","Q_9_3","lb_Q_9_3","ub_Q_9_3","Q_9_4","lb_Q_9_4","ub_Q_9_4","Q_9_5","lb_Q_9_5","ub_Q_9_5","Q_9_6","lb_Q_9_6","ub_Q_9_6","Q_9_7","lb_Q_9_7","ub_Q_9_7","Q_9_8","lb_Q_9_8","ub_Q_9_8","Q_9_9","lb_Q_9_9","ub_Q_9_9"
"PH_AS_10.sorted.bam","10","AS",0.319457,0.252353,0.393315,0.001021,0,0.007847,0.124642,0.07912,0.165719,0.056497,0.020726,0.102088,0.000796,0,0.006075,0.348822,0.294909,0.417695,0.091907,0,0.164608,0.050888,0.004741,0.085341,0.005971,0,0.043437,9.2e-05,0,0.000915,0.000177,0,0.002071,6.9e-05,0,0.000688,0.00033,0,0.003052,0.000284,0,0.001734,0.000102,0,0.001004,0.000448,0,0.002711,0.000287,0,0.003463,0.051243,0,0.202189,0.000111,0,0.001233,0.000136,0,0.001554,1e-04,0,0.001149,0.000146,0,0.001471,0.000243,0,0.003003,4.6e-05,0,0.000511,0.636121,0.502934,0.786213,0.000417,0,0.005542,0.010614,0,0.159553,0.011136,0,0.103378,0.000265,0,0.003635,0.000243,0,0.002163,7e-04,0,0.009255,0.000304,0,0.003401,0.178389,0,0.320777,0.001247,0,0.01772,0.000182,0,0.001979,0.000406,0,0.00409,5.2e-05,0,0.000547,0.000591,0,0.007015,0.000168,0,0.001635,0.007644,0,0.10158,0.047817,0,0.130214,0.000242,0,0.00274,0.035307,0,0.12404,0.001906,0,0.02841,0.000627,0,0.008511,0.000226,0,0.002407,0.000167,0,0.002002,0.000429,0,0.0057,0.000349,0,0.00373,0.000186,0,0.00215,0.002889,0,0.042815,0.000577,0,0.006897,0.006846,0,0.081307,0.000137,0,0.001257
"PH_AS_11.sorted.bam","11","AS",0.328692,0.250132,0.419697,0.000652,0,0.004984,0.093408,0.042712,0.137262,0.060462,0.030829,0.093036,0.000608,0,0.004696,0.369407,0.315341,0.427927,0.099598,0,0.180727,0.04372,0.00065,0.076274,0.003453,0,0.031497,0.000219,0,0.001947,0.000177,0,0.002062,6.7e-05,0,0.000776,0.000316,0,0.0038,6e-05,0,0.000614,0.000648,0,0.005209,0.000919,0,0.01186,0.000156,0,0.001699,0.033575,0,0.163211,0.000726,0,0.008549,9.6e-05,0,0.000825,6.1e-05,0,0.000631,0.000121,0,0.000728,0.00015,0,0.002066,6.3e-05,0,0.000721,0.644492,0.486314,0.836502,0.000161,0,0.001192,0.002639,0,0.040955,0.056738,0,0.168419,0.000221,0,0.002456,0.001851,0,0.028168,0.00397,0,0.054824,0.000156,0,0.001789,0.140892,0,0.270555,0.001932,0,0.025483,0.000174,0,0.001784,0.016192,0,0.117733,0.000412,0,0.005621,0.006554,0,0.07603,0.000202,0,0.001696,0.005665,0,0.080126,0.024286,0,0.129102,0.00016,0,0.001441,0.014118,0,0.101995,0.034056,0,0.141621,0.001093,0,0.016311,0.000422,0,0.004878,0.000194,0,0.002165,0.002251,0,0.041153,0.001718,0,0.0292,0.000107,0,0.000994,0.000552,0,0.005507,0.000999,0,0.013443,0.000214,0,0.002141,0.000225,0,0.002026
"PH_AS_12.sorted.bam","12","AS",0.297563,0.211043,0.387467,0.001237,0,0.009714,0.046867,0,0.093598,0.051473,0.01488,0.092235,0.000699,0,0.005163,0.419763,0.372263,0.50456,0.03255,0,0.097931,0.110478,0.06885,0.149586,0.039371,0.006726,0.089348,0.018387,0,0.225004,0.000252,0,0.00227,0.000246,0,0.003305,0.001465,0,0.016418,0.00034,0,0.003489,0.000828,0,0.009446,0.000438,0,0.006784,0.000189,0,0.002249,0.000199,0,0.001959,0.000486,0,0.006168,0.000142,0,0.001514,0.000152,0,0.00162,0.000157,0,0.00158,0.000128,0,0.001313,0.000124,0,0.001392,0.550198,0,0.772326,0.00035,0,0.00418,0.087233,0,0.181306,0.097753,0.019322,0.180777,0.00021,0,0.00224,0.024201,0,0.244382,0.002789,0,0.04011,0.00015,0,0.001322,0.001594,0,0.022833,0.001445,0,0.021354,0.000112,0,0.001169,0.016957,0,0.123076,0.000611,0,0.007421,0.00229,0,0.038976,0.000201,0,0.001807,0.000755,0,0.008781,0.001489,0,0.023701,0.000153,0,0.00155,0.020241,0,0.210731,0.00123,0,0.013431,0.097249,0,0.147099,0.000778,0,0.010898,0.000349,0,0.003589,0.000336,0,0.003532,0.000333,0,0.004239,9.6e-05,0,0.001045,0.018183,0,0.178283,0.039602,0,0.118725,9.9e-05,0,0.001027,0.009483,0,0.050774
"PH_AS_1.sorted.bam","1","AS",0.322327,0.248212,0.415166,0.001312,0,0.009749,0.03222,0,0.087009,0.018156,0,0.05674,0.000854,0,0.007048,0.414798,0.357988,0.485368,0.072235,0,0.154672,0.121057,0.076768,0.163447,0.01704,0,0.062517,0.000843,0,0.00991,0.000133,0,0.001433,1e-04,0,0.001054,0.00082,0,0.011113,0.000177,0,0.002077,0.003979,0,0.045437,0.000761,0,0.009562,0.000291,0,0.003611,0.000278,0,0.003438,0.001224,0,0.01735,0.000103,0,0.00067,7.6e-05,0,0.000857,0.000183,0,0.00224,0.000253,0,0.002786,8.6e-05,0,0.000791,0.583601,0.340498,0.825081,0.000339,0,0.0036,0.001012,0,0.015047,0.004187,0,0.051851,0.000191,0,0.001985,0.04757,0,0.1608,0.05413,0,0.226966,0.000808,0,0.010225,0.052207,0,0.172213,0.024395,0,0.107325,0.000179,0,0.001569,0.000598,0,0.007844,0.002461,0,0.036287,0.002472,0,0.034365,0.000205,0,0.002432,0.000517,0,0.005407,0.001971,0,0.029321,0.00016,0,0.001323,0.123722,0,0.24735,0.000992,0,0.012507,0.055297,0,0.11966,0.000949,0,0.0104,0.000394,0,0.005502,0.001291,0,0.019155,0.001727,0,0.024311,0.000391,0,0.005441,0.020807,0,0.111294,0.006239,0,0.063963,0.001483,0,0.019821,0.000399,0,0.004084
"PH_AS_2.sorted.bam","2","AS",0.239591,0.195454,0.286798,0.00082,0,0.006216,0.193943,0.154061,0.234642,0.057172,0.032549,0.097833,0.019619,0,0.051226,0.294652,0.220578,0.402833,0.14552,0.020461,0.224104,0.042921,0.019478,0.06515,0.005761,0,0.040186,6.6e-05,0,0.000583,0.000125,0,0.00149,4e-05,0,0.000384,0.000297,0,0.003543,0.000152,0,0.001568,0.000115,0,0.000827,0.001553,0,0.022746,0.000144,0,0.001592,0.03613,0,0.193236,6e-05,0,0.000628,0.000325,0,0.003177,9.4e-05,0,0.000981,0.000225,0,0.002489,0.005634,0,0.051176,3.7e-05,0,0.000372,0.475889,0.384812,0.571889,0.000362,0,0.003847,0.072801,0,0.339617,0.001392,0,0.020648,0.030396,0,0.100736,0.000101,0,0.000924,0.000315,0,0.004098,0.000199,0,0.002451,0.274756,0,0.445876,0.00205,0,0.031297,0.000378,0,0.003659,0.000261,0,0.003066,4.3e-05,0,0.000453,0.000339,0,0.00328,0.000336,0,0.003347,0.003049,0,0.054805,0.066033,0,0.124074,0.001809,0,0.026371,0.000424,0,0.004013,0.012545,0,0.089339,5.9e-05,0,0.000632,0.000206,0,0.002403,0.000149,0,0.001298,0.000246,0,0.00264,0.001288,0,0.017783,0.000304,0,0.003142,0.007577,0,0.078263,0.000448,0,0.006314,0.00119,0,0.017319,5.7e-05,0,0.000477
"PH_AS_3.sorted.bam","3","AS",0.318085,0.256794,0.400712,0.000832,0,0.006907,0.052046,2e-06,0.092703,0.060984,0.022979,0.100821,0.001799,0,0.011859,0.419814,0.35513,0.471086,0.059085,0,0.140347,0.069023,0.030102,0.108717,0.018331,0,0.081898,0.002515,0,0.032352,0.000105,0,0.001187,8.7e-05,0,0.000778,0.000567,0,0.004919,0.000166,0,0.001501,0.000348,0,0.002981,0.000271,0,0.002897,0.000388,0,0.005242,0.003189,0,0.043908,0.021895,0,0.093789,0.000196,0,0.001963,0.00014,0,0.001444,0.000231,0,0.002861,0.000701,0,0.010477,0.000114,0,0.00129,0.604736,0.474566,0.753783,0.000117,0,0.001088,0.048555,0,0.166904,0.027988,0,0.172675,0.000604,0,0.008285,0.0124,0,0.094028,0.010818,0,0.119735,0.000277,0,0.003157,0.044908,0,0.171543,0.043212,0,0.14457,0.000619,0,0.008325,0.000528,0,0.00515,0.002347,0,0.037984,0.014092,0,0.119497,0.000118,0,0.000957,0.000699,0,0.00954,0.000704,0,0.009345,0.000519,0,0.007073,0.114452,0,0.20468,0.004754,0,0.066747,0.000891,0,0.013116,0.000355,0,0.004416,0.00018,0,0.002244,0.005083,0,0.062048,0.001725,0,0.025004,0.00036,0,0.004283,0.017848,0,0.15791,0.008361,0,0.080075,0.000928,0,0.010903,0.000911,0,0.014961
"PH_AS_4.sorted.bam","4","AS",0.346088,0.279896,0.438454,0.002637,0,0.017924,0.0718,2e-06,0.116326,0.027907,0.001581,0.058113,0.000535,0,0.004456,0.427335,0.370255,0.483912,0.053256,0,0.115342,0.061896,0.015018,0.100112,0.008547,0,0.049695,0.002263,0,0.034581,0.000355,0,0.003683,0.000298,0,0.004079,0.000574,0,0.003577,0.000506,0,0.006008,0.000606,0,0.00507,0.000754,0,0.009725,0.000191,0,0.001742,0.000543,0,0.006813,0.026056,0,0.056657,0.000138,0,0.001105,8.5e-05,0,0.000728,0.000113,0,0.001138,9.2e-05,0,0.00103,5.9e-05,0,0.00049,0.669899,0.532777,0.870011,0.001255,0,0.018657,0.040261,0,0.207921,0.000416,0,0.003386,0.000132,0,0.001338,0.017548,0,0.11118,0.010756,0,0.111083,0.000468,0,0.005498,0.090907,0,0.22385,0.000237,0,0.002182,0.000104,0,0.001054,0.000912,0,0.011392,0.000242,0,0.002622,0.003906,0,0.067486,0.001114,0,0.016068,0.008914,0,0.107896,0.000337,0,0.003729,0.000143,0,0.001741,0.099586,0,0.194477,0.002302,0,0.031223,0.003149,0,0.050972,0.001267,0,0.01652,0.000705,0,0.010116,0.00057,0,0.008454,0.001131,0,0.015473,0.000143,0,0.001591,0.007111,0,0.091038,0.000341,0,0.002747,0.001193,0,0.016245,0.002316,0,0.031409
"PH_AS_5.sorted.bam","5","AS",0.328753,0.264155,0.413378,0.001108,0,0.00842,0.048911,0,0.093105,0.045742,0.015886,0.080961,0.001077,0,0.008388,0.428779,0.374407,0.478737,0.063765,0,0.128308,0.072146,0.038087,0.106738,0.009719,0,0.067687,0.000183,0,0.002146,9.8e-05,0,0.000928,0.000243,0,0.002694,0.000568,0,0.006925,0.000219,0,0.002186,0.000302,0,0.004012,0.000644,0,0.007195,0.000272,0,0.003827,0.000579,0,0.008868,0.000216,0,0.00242,0.000186,0,0.002275,6.2e-05,0,0.000647,0.000135,0,0.001476,0.000256,0,0.002762,6.2e-05,0,0.000587,0.651839,0.52134,0.822599,0.00045,0,0.005762,0.002601,0,0.043107,0.056263,0,0.155773,0.000457,0,0.005594,0.052304,0,0.139954,0.002768,0,0.042472,0.000275,0,0.003132,0.089977,0,0.180578,0.029138,0,0.107834,0.000394,0,0.004029,0.001852,0,0.027846,0.000365,0,0.004198,0.000823,0,0.009883,0.000139,0,0.001217,0.00042,0,0.005146,0.000273,0,0.00223,0.000136,0,0.001251,0.028467,0,0.181389,0.001858,0,0.02663,0.055895,0,0.100197,0.000213,0,0.00186,0.000214,0,0.002159,0.002716,0,0.041703,0.003628,0,0.044837,0.000405,0,0.004983,0.011022,0,0.13267,0.000536,0,0.006814,0.000386,0,0.004279,0.000159,0,0.001833
"PH_AS_6.sorted.bam","6","AS",0.335858,0.269724,0.421338,0.000827,0,0.006356,0.057909,0.016729,0.101965,0.076059,0.0365,0.117367,0.001099,0,0.007529,0.40587,0.345041,0.462337,0.060239,0,0.141246,0.057319,0.020645,0.104351,0.00482,0,0.041826,0.000375,0,0.004256,0.00018,0,0.001879,8.9e-05,0,0.000894,0.00099,0,0.014123,0.000174,0,0.001598,0.001066,0,0.013305,0.001426,0,0.020076,0.000197,0,0.002361,0.003034,0,0.041145,0.058356,0,0.114981,0.000165,0,0.00181,7.6e-05,0,0.000608,0.000311,0,0.004203,0.000144,0,0.001642,0.000119,0,0.001001,0.624286,0.366217,0.838044,0.000114,0,0.001248,0.009958,0,0.109179,0.000563,0,0.007388,0.000289,0,0.00362,0.079741,0,0.210436,0.016531,0,0.17081,0.000223,0,0.002192,0.056435,0,0.198051,0.024149,0,0.154343,0.000494,0,0.005877,0.006132,0,0.099496,0.003695,0,0.064165,0.026925,0,0.136877,0.000304,0,0.002651,0.042321,0,0.143582,0.005577,0,0.086881,0.000283,0,0.002771,0.006355,0,0.079986,0.007117,0,0.082391,0.012614,0,0.092065,0.000462,0,0.004635,0.000207,0,0.002041,0.000463,0,0.005702,0.000316,0,0.002384,2e-04,0,0.002443,0.004563,0,0.074142,0.002008,0,0.027343,0.000528,0,0.006617,0.000446,0,0.005775
"PH_AS_7.sorted.bam","7","AS",0.356208,0.297232,0.451365,0.000524,0,0.0042,0.02912,0,0.080548,0.034899,0.002342,0.060416,0.000404,0,0.003421,0.448095,0.392261,0.502711,0.048893,0,0.122477,0.050533,0.023441,0.085948,0.031322,0,0.088236,0.000698,0,0.010589,0.000122,0,0.001116,4.3e-05,0,0.000396,0.000557,0,0.006772,7e-05,0,0.000849,0.000473,0,0.006397,0.001717,0,0.026165,8.9e-05,0,0.000843,0.000289,0,0.002485,0.001216,0,0.017539,0.000102,0,0.001015,5.3e-05,0,0.000607,6.6e-05,0,0.000474,0.000125,0,0.001398,6.7e-05,0,0.000658,0.685974,0.477825,0.898191,0.000142,0,0.001058,0.006443,0,0.078201,0.005307,0,0.070406,8.5e-05,0,0.00065,0.07531,0,0.165997,0.021603,0,0.153764,0.000147,0,0.001195,0.048877,0,0.159073,0.000212,0,0.002266,9e-05,0,0.000803,0.001212,0,0.012668,0.000537,0,0.007265,0.000501,0,0.004361,0.000128,0,0.001244,0.000702,0,0.008518,0.059089,0,0.115395,7.5e-05,0,0.000788,0.00486,0,0.074917,0.022525,0,0.135991,0.001814,0,0.023392,0.000443,0,0.004057,0.00021,0,0.002694,0.00029,0,0.003255,0.000539,0,0.007812,7.9e-05,0,0.00087,0.041547,0,0.172927,0.002046,0,0.034158,0.009559,0,0.066639,0.003966,0,0.031229
"PH_AS_8.sorted.bam","8","AS",0.348845,0.280283,0.437482,0.002866,0,0.017174,0.041463,0,0.086992,0.018749,0,0.046292,0.002433,0,0.015739,0.400154,0.341933,0.464889,0.055897,0,0.126159,0.098962,0.060548,0.13761,0.030632,0.00059,0.062585,0.001625,0,0.019358,5e-04,0,0.006265,0.000763,0,0.010016,0.003746,0,0.04909,0.000721,0,0.009235,0.00082,0,0.011504,0.001306,0,0.019196,0.000548,0,0.007573,0.002597,0,0.03316,0.000749,0,0.010922,0.00029,0,0.003505,0.000184,0,0.002173,0.000124,0,0.001058,0.000426,0,0.005354,0.000406,0,0.005701,0.684285,0.549627,0.869412,0.000557,0,0.007214,0.045712,0,0.16233,0.018626,0,0.082577,0.000426,0,0.005103,0.006278,0,0.065129,0.002184,0,0.0323,0.000594,0,0.007782,0.026599,0,0.140668,0.007092,0,0.065086,0.001107,0,0.016616,0.001159,0,0.017411,0.000506,0,0.005795,0.001577,0,0.020905,0.000475,0,0.005479,0.001304,0,0.01856,0.004642,0,0.05508,0.000757,0,0.007742,0.036455,0,0.195981,0.070019,0,0.218055,0.040985,0,0.120843,0.000551,0,0.004641,0.000627,0,0.008352,0.000481,0,0.005398,0.000764,0,0.010512,0.000738,0,0.01124,0.000533,0,0.007287,0.002026,0,0.029199,0.000724,0,0.010581,0.02741,0,0.060533
"PH_AS_9.sorted.bam","9","AS",0.345051,0.272976,0.417435,0.001515,0,0.01046,0.046676,0,0.098515,0.047744,0.020698,0.079183,0.002429,0,0.016125,0.431546,0.376687,0.497477,0.056757,0,0.11418,0.062648,0.026754,0.095251,0.005633,0,0.028401,0.000317,0,0.003522,0.000155,0,0.001411,8.2e-05,0,0.000764,0.001393,0,0.016736,0.000474,0,0.0052,0.000821,0,0.010848,0.000795,0,0.009732,0.000617,0,0.008376,0.000609,0,0.007818,0.003927,0,0.03937,0.000304,0,0.004044,0.000173,0,0.002121,0.000516,0,0.005282,0.000428,0,0.005492,0.000121,0,0.001018,0.678733,0.534782,0.813399,0.000302,0,0.003162,0.000845,0,0.01101,0.064426,0,0.152299,0.000404,0,0.003882,0.008992,0,0.073736,0.002191,0,0.035832,0.000376,0,0.003806,0.085178,0,0.194661,0.015786,0,0.10437,0.000924,0,0.012565,0.000501,0,0.006189,0.000457,0,0.004262,0.005296,0,0.069144,0.000517,0,0.006953,0.000335,0,0.004191,0.004251,0,0.073941,0.001005,0,0.014584,0.09713,0,0.179671,0.005833,0,0.068804,0.004731,0,0.054643,0.000599,0,0.008423,0.000253,0,0.002759,0.002359,0,0.036227,0.000723,0,0.010978,0.000863,0,0.011455,0.002769,0,0.029765,0.001813,0,0.031158,0.001467,0,0.023066,0.00021,0,0.00198
"PH_BA_10.sorted.bam","10","BA",0.025604,0,0.063901,0.008628,0,0.029631,0.173822,0.134251,0.216143,0.003983,0,0.019192,0.302407,0.272554,0.334679,0.013418,0,0.045996,0.461445,0.421069,0.489612,0.003069,0,0.018773,0.007625,0,0.030386,0.000503,0,0.005494,0.003652,0,0.042095,0.001146,0,0.015818,0.005986,0,0.087091,0.00137,0,0.019475,0.002785,0,0.039588,0.001058,0,0.015612,0.001432,0,0.019059,0.001688,0,0.025861,0.000235,0,0.002786,0.008446,0,0.080548,0.001645,0,0.025498,0.000975,0,0.015687,0.00132,0,0.022538,0.002381,0,0.02839,0.010276,0,0.074387,0.00185,0,0.026526,0.003338,0,0.044103,0.00025,0,0.0027,0.009238,0,0.07587,0.00015,0,0.001208,0.018248,0,0.109222,0.000689,0,0.00874,0.326633,0.221521,0.412749,0.000535,0,0.007046,0.573402,0.49326,0.646338,0.000364,0,0.004164,0.000161,0,0.001813,0.000411,0,0.004397,0.001552,0,0.024081,0.000485,0,0.006916,0.000549,0,0.006934,0.001085,0,0.015399,0.000646,0,0.008472,0.000258,0,0.002564,0.000144,0,0.001472,0.002129,0,0.028724,0.002773,0,0.030273,0.001598,0,0.025182,0.000665,0,0.007601,0.003941,0,0.04484,0.000574,0,0.00578,0.002439,0,0.034211,0.000864,0,0.012515,0.000134,0,0.001544
"PH_BA_1.sorted.bam","1","BA",0.00322,0,0.023691,0.016997,0,0.056277,0.166799,0.122672,0.225912,0.046693,0.023006,0.076037,0.302849,0.266667,0.337746,0.013944,0,0.04467,0.442844,0.394448,0.482001,0.00182,0,0.013654,0.004832,0,0.026968,7.2e-05,0,0.000532,0.000625,0,0.007975,0.000378,0,0.005518,0.002059,0,0.028013,0.000498,0,0.006242,0.001108,0,0.013014,0.000358,0,0.003594,0.00899,0,0.093539,0.031706,0,0.147157,0.000382,0,0.004917,0.000276,0,0.002415,0.003229,0,0.04388,0.007192,0,0.109947,0.025174,0,0.106691,0.00105,0,0.014991,0.00112,0,0.018103,0.002505,0,0.038925,0.006877,0,0.061157,0.006951,0,0.066153,0.003038,0,0.047721,0.001972,0,0.023526,0.000826,0,0.008708,0.015415,0,0.098164,0.281875,0.18297,0.369531,0.018721,0,0.116886,0.563602,0.452846,0.651708,0.000606,0,0.006289,0.001225,0,0.01568,0.000279,0,0.00212,0.000393,0,0.004714,0.000447,0,0.005145,0.000227,0,0.001529,0.000263,0,0.002189,0.000398,0,0.005959,0.000565,0,0.005203,0.000292,0,0.003783,0.000755,0,0.009638,0.001583,0,0.025795,0.000728,0,0.011837,0.000494,0,0.006593,0.000825,0,0.011589,0.002452,0,0.0364,0.001628,0,0.023533,0.000485,0,0.005474,0.000358,0,0.004771
"PH_BA_2.sorted.bam","2","BA",0.031777,3.4e-05,0.064314,0.008036,0,0.043188,0.171712,0.136126,0.216241,0.035414,0.013927,0.060826,0.304836,0.271113,0.338479,0.002336,0,0.017039,0.441122,0.399719,0.471433,0.002914,0,0.017538,0.001854,0,0.013584,0.000515,0,0.003748,0.002365,0,0.04218,0.000277,0,0.002865,0.007575,0,0.117847,0.002536,0,0.040829,0.002096,0,0.013534,0.041966,0,0.094512,0.005339,0,0.063016,0.006172,0,0.079447,0.000198,0,0.002534,0.001508,0,0.024908,0.00075,0,0.005696,0.001656,0,0.02196,0.011401,0,0.099275,0.022831,0,0.081783,0.001104,0,0.01213,0.00066,0,0.009236,0.000535,0,0.005985,0.000512,0,0.007147,0.000404,0,0.004056,0.000116,0,0.001225,0.006887,0,0.088283,0.003322,0,0.054043,0.319537,0.197317,0.398055,0.00373,0,0.051643,0.546945,0.456576,0.634475,0.000356,0,0.004206,0.000141,0,0.001398,0.000738,0,0.00914,0.000374,0,0.004313,0.000728,0,0.009496,0.000831,0,0.010853,0.000937,0,0.013643,0.000453,0,0.006181,0.000853,0,0.01228,0.000192,0,0.00222,0.000382,0,0.003657,0.000171,0,0.001977,0.000492,0,0.006717,0.00048,0,0.005767,0.000408,0,0.004602,0.000416,0,0.004437,0.000334,0,0.004655,0.000531,0,0.007157,0.000247,0,0.003012
"PH_BA_3.sorted.bam","3","BA",0.044825,0.000733,0.102979,0.007557,0,0.034242,0.178231,0.138378,0.228601,0.035901,0.006792,0.060298,0.284028,0.253752,0.315014,0.007783,0,0.040615,0.438184,0.37831,0.469019,0.00169,0,0.010661,0.001801,0,0.01437,0.000478,0,0.005073,0.000448,0,0.006174,0.000683,0,0.010823,0.022071,0,0.203515,0.000758,0,0.008631,0.004201,0,0.061147,0.035642,0,0.104753,0.006027,0,0.057783,0.000345,0,0.004187,0.000141,0,0.001564,0.000966,0,0.011998,0.002405,0,0.039261,0.00136,0,0.020782,0.026413,0,0.110877,0.002381,0,0.035039,0.003588,0,0.047276,0.002514,0,0.032931,0.001535,0,0.020963,0.001159,0,0.014377,0.0047,0,0.0605,0.000563,0,0.006893,0.024958,0,0.126701,0.000917,0,0.014129,0.321221,0.168204,0.40508,0.00143,0,0.015603,0.52628,0.42242,0.610259,0.000299,0,0.003044,0.000275,0,0.003143,0.000257,0,0.003072,0.000448,0,0.005645,0.000635,0,0.009282,0.000227,0,0.002831,0.000284,0,0.002932,0.000306,0,0.003077,0.000182,0,0.002102,0.000426,0,0.005638,0.000765,0,0.00985,0.00023,0,0.002472,0.000136,0,0.001434,0.000276,0,0.00275,0.000885,0,0.013381,0.00034,0,0.002761,0.00053,0,0.00436,0.000191,0,0.002474,0.000124,0,0.001436
"PH_BA_4.sorted.bam","4","BA",0.019273,0,0.056304,0.024136,1e-06,0.055773,0.167958,0.129402,0.209892,0.019104,1e-06,0.045249,0.289941,0.25975,0.319291,0.004581,0,0.030035,0.464704,0.435789,0.491252,0.003189,0,0.01927,0.007113,0,0.032716,0.000194,0,0.002388,0.001775,0,0.028412,0.001645,0,0.019399,0.001514,0,0.019516,0.000974,0,0.010646,0.000293,0,0.002804,0.001256,0,0.017344,0.020613,0,0.075999,0.001134,0,0.016772,0.000269,0,0.00321,0.003214,0,0.044365,0.001112,0,0.01537,0.000922,0,0.013895,0.007297,0,0.077547,0.002785,0,0.032369,0.000664,0,0.008107,0.004775,0,0.052187,0.000282,0,0.002823,0.000282,0,0.002835,0.000784,0,0.010787,0.000189,0,0.002305,0.026907,0,0.109004,0.00942,0,0.078869,0.328757,0.254545,0.40658,0.003631,0,0.051807,0.558811,0.484167,0.623479,0.000288,0,0.003419,0.000259,0,0.002199,0.000925,0,0.012994,0.001406,0,0.022265,0.000264,0,0.00298,0.001441,0,0.018945,0.000962,0,0.01521,0.000644,0,0.00871,0.00024,0,0.002689,0.000113,0,0.001181,0.001902,0,0.02828,0.004907,0,0.046204,0.001483,0,0.022285,0.002013,0,0.028481,0.00121,0,0.017563,0.001064,0,0.01672,0.000834,0,0.011004,0.000272,0,0.002093,0.000271,0,0.003762
"PH_BA_5.sorted.bam","5","BA",0.023919,0,0.06879,0.013357,0,0.040978,0.142028,0.09741,0.18957,0.003612,0,0.021927,0.328197,0.286144,0.367015,0.047169,0.001095,0.082856,0.432321,0.394254,0.468293,0.00163,0,0.012401,0.007768,0,0.038537,0.000476,0,0.005652,0.001665,0,0.025154,0.000326,0,0.003633,0.00236,0,0.025978,0.002717,0,0.034784,0.000571,0,0.007819,0.00033,0,0.003067,0.001495,0,0.019344,0.000604,0,0.007516,0.000165,0,0.001662,0.005007,0,0.065407,0.005172,0,0.054227,0.004538,0,0.067625,0.001826,0,0.022936,0.010622,0,0.071954,0.032399,0,0.129144,0.003314,0,0.047364,0.000931,0,0.009481,0.000711,0,0.010424,0.044013,0,0.153322,0.000274,0,0.003367,0.00392,0,0.059266,0.009703,0,0.068319,0.268264,0.178796,0.344541,0.000788,0,0.010125,0.570498,0.470028,0.664275,0.007824,0,0.075788,0.001436,0,0.023698,0.000784,0,0.009681,0.000277,0,0.003071,0.000163,0,0.001689,0.000236,0,0.003331,0.000252,0,0.002284,0.000473,0,0.005065,0.000385,0,0.00469,9.3e-05,0,0.000942,0.000421,0,0.005321,0.001717,0,0.024827,0.003335,0,0.042783,0.000903,0,0.010876,0.003845,0,0.056535,0.004127,0,0.051352,0.000389,0,0.003801,0.000504,0,0.006189,0.000147,0,0.001474
